date,pollution,dew,temp,press,wnd_dir,wnd_spd,snow
2013-11-11 20:00:00,2,-9,4.0,1025.0,cv,0.89,0
2013-11-11 21:00:00,2,-8,2.0,1025.0,SE,0.89,0
2013-11-11 22:00:00,3,-6,2.0,1025.0,SE,1.78,0
2013-11-11 23:00:00,3,-6,2.0,1025.0,cv,0.89,0
2013-11-12 00:00:00,3,-7,1.0,1025.0,NE,1.79,0
2013-11-12 01:00:00,4,-7,0.0,1025.0,cv,0.89,0
2013-11-12 02:00:00,4,-6,-1.0,1026.0,NW,0.89,0
2013-11-12 03:00:00,4,-5,0.0,1025.0,cv,0.89,0
2013-11-12 04:00:00,4,-6,-1.0,1025.0,NW,1.79,0
2013-11-12 05:00:00,3,-7,-1.0,1025.0,NW,5.81,0
2013-11-12 06:00:00,3,-7,-1.0,1025.0,NW,8.94,0
2013-11-12 07:00:00,2,-7,1.0,1026.0,NW,12.07,0
2013-11-12 08:00:00,1,-6,4.0,1026.0,NW,13.86,0
2013-11-12 09:00:00,2,-7,8.0,1026.0,NW,15.65,0
2013-11-12 10:00:00,1,-9,11.0,1027.0,NE,1.79,0
2013-11-12 11:00:00,1,-9,13.0,1026.0,NE,4.92,0
2013-11-12 12:00:00,1,-10,15.0,1025.0,cv,1.79,0
2013-11-12 13:00:00,1,-10,16.0,1024.0,NW,1.79,0
2013-11-12 14:00:00,1,-10,15.0,1023.0,NE,1.79,0
2013-11-12 15:00:00,0,-9,15.0,1023.0,NE,4.92,0
2013-11-12 16:00:00,0,-10,14.0,1023.0,cv,0.89,0
2013-11-12 17:00:00,1,-9,11.0,1023.0,cv,1.78,0
2013-11-12 18:00:00,1,-6,7.0,1023.0,SE,0.89,0
2013-11-12 19:00:00,1,-5,7.0,1024.0,SE,2.68,0
2013-11-12 20:00:00,2,-7,8.0,1024.0,SE,4.47,0
2013-11-12 21:00:00,2,-7,8.0,1025.0,SE,6.26,0
2013-11-12 22:00:00,2,-6,5.0,1025.0,SE,8.05,0
2013-11-12 23:00:00,2,-5,4.0,1025.0,cv,0.89,0
2013-11-13 00:00:00,2,-5,4.0,1025.0,SE,1.79,0
2013-11-13 01:00:00,3,-4,4.0,1025.0,SE,3.58,0
2013-11-13 02:00:00,3,-4,3.0,1024.0,SE,4.47,0
2013-11-13 03:00:00,4,-3,3.0,1024.0,cv,0.89,0
2013-11-13 04:00:00,4,-3,2.0,1023.0,cv,1.78,0
2013-11-13 05:00:00,4,-2,3.0,1023.0,SE,0.89,0
2013-11-13 06:00:00,4,-3,1.0,1023.0,NW,0.89,0
2013-11-13 07:00:00,5,-2,2.0,1023.0,NE,0.89,0
2013-11-13 08:00:00,5,-2,3.0,1023.0,NE,1.78,0
2013-11-13 09:00:00,5,-1,5.0,1023.0,cv,0.89,0
2013-11-13 10:00:00,5,-1,6.0,1023.0,cv,1.78,0
2013-11-13 11:00:00,6,-2,7.0,1022.0,SE,0.89,0
2013-11-13 12:00:00,6,-1,8.0,1021.0,cv,0.89,0
2013-11-13 13:00:00,6,-2,8.0,1020.0,cv,1.78,0
2013-11-13 14:00:00,6,-2,9.0,1019.0,cv,2.67,0
2013-11-13 15:00:00,7,-1,9.0,1019.0,cv,3.56,0
2013-11-13 16:00:00,7,-1,9.0,1018.0,SE,0.89,0
2013-11-13 17:00:00,8,0,7.0,1018.0,NE,0.89,0
2013-11-13 18:00:00,9,-1,5.0,1018.0,NW,1.79,0
